Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
1998-02-03,15:15,"Near Cavalese, Trento, Italy",Military - U.S. Marine Corps,-,,Grummand EA-6B,2.0,0.0,2.0,0.0,0.0,0.0,20.0
1998-02-05,12:10,"Near Navafria, Spain",Military - Spanish Air Force,,,CASA 212-S1 Aviocar 100,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1998-02-12,08:30,"Near Nasir, Sudan",Military - Sudan Air Force,,,Antonov AN-32,57.0,50.0,7.0,27.0,24.0,3.0,0.0
1998-05-12,19:30,"Near Nema, Mauritania",Military - Mauritanian Air Force,,Nema - Nouakchott,Xian Yunshuji Y-7-100C,42.0,35.0,7.0,39.0,32.0,7.0,0.0
1998-05-25,10:20,"Near Longtiang, Laos",Military - Lao People's Liberation Army Air Force,,Vientiane - Xiang Khoang,Yakovlev YAK-40,26.0,20.0,6.0,26.0,20.0,6.0,0.0
1998-07-23,,"Pico de Orizaba, Mexico",Military - Mexican Air Force,,Mexico City - Tuxtla Gutiérrez,Shorts SC-7 Skyvan 3-100,4.0,0.0,4.0,4.0,0.0,4.0,0.0
1998-09-10,,"Islamabad, Pakistan",Military - Pakistan Air Force,,,Lockheed C-130B Hercules,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1999-01-13,,"Geilenkirchen, Germany",Military - German Air National Guard,,Refueling,Boeing KC-135E,4.0,0.0,4.0,4.0,0.0,4.0,0.0
1999-03-07,08:23,"New Delhi, India",Military - Indian Air Force,,Gwalior -  Pokhran - New Delhi,Antonov AN-32 Transport,19.0,15.0,4.0,19.0,15.0,4.0,3.0
1999-05-24,13:15,"Kuching, Malaysia",Military - Malaysian Air Force,,Training,de Havilland Canada DHC-4A,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1999-06-03,,"Near Khartoum, Sudan",Military - Sudan Air Force,,Kassala - Khartoum,Antonov 32,50.0,44.0,6.0,50.0,44.0,6.0,0.0
1999-07-23,03:30,"Near Orito, Colombia",Military - U.S. Army,,,de Havilland Canada DHC-7-102,7.0,0.0,7.0,7.0,0.0,7.0,0.0
1999-09-17,,"Mt. Hidalgo, Mexico",Military - Mexican Air Force,,Test flight,Lockheed C-130A Hercules,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1999-10-24,,"San Carlos, Venezuela",Military - Venezuelan Army,,La Carlota - Acarigua,Arava 201,6.0,3.0,3.0,6.0,3.0,3.0,0.0
1999-12-10,02:50,"Kuwait City, Kuwait",Military - U.S. Air Force,,Kuwait  IA - Kuwait-Ahmed Al-jaber AB,Lockheed C-130H,94.0,86.0,8.0,3.0,3.0,0.0,0.0
2000-03-22,17:45,"Herreira, Spain",Military - Ejército del Aire,,Sevilla - Herreira,CASA 212-DE Aviocar 200,7.0,0.0,7.0,7.0,0.0,7.0,0.0
